"Source:","C:\Users\FT12L\Documents\KiCad\projekt5\Frontplatte_v1.6\Frontplatte.sch"
"Date:","04.07.2020 15:49:01"
"Tool:","Eeschema (5.1.4)-1"
"Component Count:","14"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"D1","156120GS75000","reverse_LED:reverse_mounted_LED_hole_2.3mm","~","","710-156120GS75000"
"D2","156120GS75000","reverse_LED:reverse_mounted_LED_hole_2.3mm","~","","710-156120GS75000"
"D3","156120GS75000","reverse_LED:reverse_mounted_LED_hole_2.3mm","~","","710-156120GS75000"
"D4","156120GS75000","reverse_LED:reverse_mounted_LED_hole_2.3mm","~","","710-156120GS75000"
"J1","61000621121","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical_SMD","~","","710-61000621121"
"R1","100","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","660-RN73H1JT1000F100"
"R2","100","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","660-RN73H1JT1000F100"
"R3","100","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","660-RN73H1JT1000F100"
"R4","100","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","660-RN73H1JT1000F100"
"TA1","touch_area_round_12mm","touch_area:touch_area","","",""
"TA2","touch_area_round_12mm","touch_area:touch_area","","",""
"TA3","touch_area_round_12mm","touch_area:touch_area","","",""
"TA4","touch_area_round_12mm","touch_area:touch_area","","",""
"TH1","NCU18WF104J60RB","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","81-NCU18WF104J60RB"
